org_id,org_name,org_address_name_line_1,org_address_name_line_2,org_city,org_state,org_zip
1,Carnegie Mellon University,5000 Forbes Avenue,,Pittsburgh,PA,15213
2,North American Computational Linguistics Open Competition,5000 Forbes Avenue,Language Technologies Institute,Pittsburgh,PA,15213
3,"PGSS Campaign, Inc.",161 W Hills Dr,,Williamsport,PA,17701
4,CodeBozu,111 Dryden Rd,,Ithaca,NY,14850
5,Microsoft,One Microsoft Way,,Redmond,WA,98052
6,Amazon,410 Terry Ave N,,Seattle,WA,98109
7,Robotics Education & Competition (REC) Foundation,1519 I-30 West,,Greenville,TX,75402
8,Society for Science & the Public,1719 N Street N.W.,,Washington,D.C.,20036
9,Camp Kesem,0586 West Pico Boulevard,#196,Los Angeles,CA,90064
10,Community College of Philadelphia,1700 Spring Garden Street,,Philadelphia,PA,19130
11,The Apprenticeship and Training Office (ATO),1700 Labor & Industry Building,,Harrisburg,PA,17120
12,Youth Enrichment Services,6031 Broad Street,#202,Pittsburgh,PA,15206
13,Allegheny Health Network,120 Fifth Avenue,Suite 2900,Pittsburgh,PA,15222
14,University of Pittsburgh,4200 Fifth Ave,University of Pittsburgh,Pittsburgh ,PA,15260
15,Magee-Womens Research Institute,204 Craft Avenue,Magee-Womens Research Institute,Pittsburgh,PA,15213
16,Southwest PA Area Health Education Center,565 Allegheny Ave,Suite 200,Oakmont,PA,15139
17,Giant Eagle,101 Kappa Drive,,Pittsburgh,PA,15238
18,HighMark,120 Fifth Avenue Plave,,Pittsburgh,PA,15222
19,Foundation for Free Entreprise Education,3076 W. 12th Street,,Erie,PA,16505
20,Carnegie Science Center,One Allegheny Ave.,,Pittsburgh,PA,15212
21,Duquesne University,600 Forbes Ave,,Pittsburgh,PA,15282
22,The GenCyber Program,9800 Savage Rd,,Fort Meade,MD,20755
23,Neighboorhood Learning,5429 Penn Ave,,Pittsburgh,PA,15206
24,Carnegie Museum of Art,4400 Forbes Avenue,,Pittsburgh,PA,15213
25,Pittsburgh Center for Arts & Media,1047 Shady Avenue,,Pittsburgh,PA,15232
26,Pittsburgh Glass Center,5472 Penn Ave,,Pittsburgh,PA,15206
27,MCG Youth & Arts (MCGYA) ,1815 Metropolitan Street ,,Pittsburgh,PA ,15233
28,Carnegie Museum of Natural History,4400 Forbes Ave,,Pittsburgh,PA,15213
29,Phipps Conservatory and Botanical Gardens,One Schenley Park,,Pittsburgh,PA,15213
30,Carlow University,3333 Fifth Avenue,,Pittsburgh,PA,15213
31,Community College of Allegheny County,808 Ridge Avenue,,Pittsburgh,PA,15212
32,Chatham University,Woodland Rd,,Pittsburgh,PA,15232
33,Hack PGH,1936 Fifth Avenue,,Pittsburgh,PA,15219
34,Academy Pittsburgh,753 E Warrington Avenue,,Pittsburgh,PA,15210
35,Allegheny County Sanitary Authority (ALCOSAN),3300 Preble Avenue,,Pittsburgh,PA,15233
36,The Andy Warhol Museum,117 Sandusky St,,Pittsburgh,PA,15212
37,Children's Museum of Pittsburgh,10 Childrenâ€™s Way,Allegheny Square,Pittsburgh,PA,15212
38,Oxford Development Company,2545 Railroad St,Suite 300,Pittsburgh,PA,15222
39,iBiology/Science Communication Lab Inc.,600 16TH ST,N476D 2240,San Francisco,CA,94143
40,East Liberty Presbyterian Church,116 South Highland Avenue,,Pittsburgh,PA,15206
41,Oakland Planning and Development Corporation,286 Semple Street ,,Pittsburgh,PA,15213
42,Ruth's Way Inc,509 Long Road ,Suite #2,Penn Hills,PA,15235
43,Remake Learning Days Across America (RLDAA),650 Smithfield St,,Pittsburgh,PA,15222
44,Sea AIr and Land Challenge,Applied Research Laboratory,,University Park,PA,16802
45,Smithsonian Institution,600 Maryland Ave,SW ,Washington,D.C.,20002
46,The Citizen Science Lab,1699 Washington Rd.,Suite 200,Pittsburgh,PA,15228
47,Carnegie Library of Pittsburgh,4400 Forbes Ave,Carnegie Lecture Hall,Pittsburgh,PA,15213
48,The Irma Freeman Center for Imagination,5006 Penn Ave,,Pittsburgh,PA,15224
49,The Queen's Gambit Chess Institute,4716 Ellsworth Ave,Apt #823,Piitsburgh,PA,15213
50,The National Academies Press,500 Fifth St.,N.W.,Washington,D.C.,20001
51,The Mattress Factory Art Museum,500 Sampsonia Way,,Pittsburgh,PA,15212
52,YMCA of Greater Pittsburgh,680 Andersen Drive,Foster Plaza 10,Pittsburgh,PA,15220
53,YWCA Greater Pittsburgh,305 Wood St,,Pittsburgh,PA,15222
54,Carnegie Mellon Robotics Academy,One Allegheny Ave.,,Pittsburgh,PA,15212
55,Partner4Work,650 Smithfield Street,"Centre City Tower, Suite 2400",Pittsburgh,PA,15222
56,Bloomfield Garfield Corporation,113 North Pacific Ave.,,Pittsburgh,PA,15224
57,Beaver County Rehabilitation Center,131 Pleasant Drive ,2nd floor,Aliquippa,PA,15001
58,Auberle,1101 Hartman Street,Auberle Main Campus,McKeesport,PA,15132
59,Pittsburgh Learning Commons,1256 Franklin Ave.,,Pittsburgh,PA,15221
60,Phase 4 Learning Center Inc.,5850 Centre Ave.,,Pittsburgh,PA,15206
61,Youth Programs,711 West Commons,,Pittsburgh,PA,15212
62,University of Pittsburgh Medical Center,200 Lothrop Street,,Pittsburgh,PA,15213